Entry	Entry name	Protein names	yourlist:M20180509F725F458AC8690F874DD868E4ED79B88FE4F7BJ
Q5VWQ0	RSBN1_HUMAN	Lysine-specific demethylase 9 (KDM9) (EC 1.14.11.-) (Round spermatid basic protein 1)	NM_018364
Q96A09	FA46B_HUMAN	Putative nucleotidyltransferase FAM46B (EC 2.7.7.-)	NM_052943
P78545	ELF3_HUMAN	ETS-related transcription factor Elf-3 (E74-like factor 3) (Epithelial-restricted with serine box) (Epithelium-restricted Ets protein ESX) (Epithelium-specific Ets transcription factor 1) (ESE-1)	NM_004433
Q8TAY7	F110D_HUMAN	Protein FAM110D	NM_024869
Q8TF50	ZN526_HUMAN	Zinc finger protein 526	NM_133444
Q8NEP9	ZN555_HUMAN	Zinc finger protein 555	NM_152791
Q9NSE2	CISH_HUMAN	Cytokine-inducible SH2-containing protein (CIS) (CIS-1) (Protein G18) (Suppressor of cytokine signaling) (SOCS)	NM_145071
Q96E09	F122A_HUMAN	Protein FAM122A	NM_138333
O15060	ZBT39_HUMAN	Zinc finger and BTB domain-containing protein 39	NM_014830
Q96IP4	FA46A_HUMAN	Putative nucleotidyltransferase FAM46A (EC 2.7.7.-) (HBV X-transactivated gene 11 protein) (HBV XAg-transactivated protein 11)	NM_017633
Q96LX8	ZN597_HUMAN	Zinc finger protein 597	NM_152457
Q96BJ8	ELMO3_HUMAN	Engulfment and cell motility protein 3	NM_024712
O14543	SOCS3_HUMAN	Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (STAT-induced STAT inhibitor 3) (SSI-3)	NM_003955
Q9H5J0	ZBTB3_HUMAN	Zinc finger and BTB domain-containing protein 3	NM_024784
Q96A47	ISL2_HUMAN	Insulin gene enhancer protein ISL-2 (Islet-2)	NM_145805
P62745	RHOB_HUMAN	Rho-related GTP-binding protein RhoB (Rho cDNA clone 6) (h6)	NM_004040
Q96GW9	SYMM_HUMAN	Methionine--tRNA ligase, mitochondrial (EC 6.1.1.10) (Methionyl-tRNA synthetase 2) (Mitochondrial methionyl-tRNA synthetase) (MtMetRS)	NM_138395
Q86YV9	HPS6_HUMAN	Hermansky-Pudlak syndrome 6 protein (Ruby-eye protein homolog) (Ru)	NM_024747
Q9NX09	DDIT4_HUMAN	DNA damage-inducible transcript 4 protein (HIF-1 responsive protein RTP801) (Protein regulated in development and DNA damage response 1) (REDD-1)	NM_019058
Q96MP5	ZSWM3_HUMAN	Zinc finger SWIM domain-containing protein 3	NM_080752
Q8N2R0	OSR2_HUMAN	Protein odd-skipped-related 2	NM_053001
O15492	RGS16_HUMAN	Regulator of G-protein signaling 16 (RGS16) (A28-RGS14P) (Retinal-specific RGS) (RGS-r) (hRGS-r) (Retinally abundant regulator of G-protein signaling)	NM_002928
Q96EK9	KTI12_HUMAN	Protein KTI12 homolog	NM_138417
O00519	FAAH1_HUMAN	Fatty-acid amide hydrolase 1 (EC 3.5.1.99) (Anandamide amidohydrolase 1) (Oleamide hydrolase 1)	NM_001441
Q8N165	PDK1L_HUMAN	Serine/threonine-protein kinase PDIK1L (EC 2.7.11.1) (PDLIM1-interacting kinase 1-like)	NM_152835
Q969W8	ZN566_HUMAN	Zinc finger protein 566	NM_032838
Q9UJW8	ZN180_HUMAN	Zinc finger protein 180 (HHZ168)	NM_013256
Q8TB69	ZN519_HUMAN	Zinc finger protein 519	NM_145287
P48552	NRIP1_HUMAN	Nuclear receptor-interacting protein 1 (Nuclear factor RIP140) (Receptor-interacting protein 140)	NM_003489
Q7L775	EPMIP_HUMAN	EPM2A-interacting protein 1 (Laforin-interacting protein)	NM_014805
Q6PII3	CC174_HUMAN	Coiled-coil domain-containing protein 174	NM_016474
Q9Y6Q3	ZFP37_HUMAN	Zinc finger protein 37 homolog (Zfp-37)	NM_003408
Q96GA7	SDSL_HUMAN	Serine dehydratase-like (L-serine deaminase) (L-serine dehydratase/L-threonine deaminase) (L-threonine dehydratase) (TDH) (EC 4.3.1.19) (Serine dehydratase 2) (SDH 2) (EC 4.3.1.17)	NM_138432
Q9UKT4	FBX5_HUMAN	F-box only protein 5 (Early mitotic inhibitor 1)	NM_012177
Q96C00	ZBTB9_HUMAN	Zinc finger and BTB domain-containing protein 9	NM_152735
Q8WY64	MYLIP_HUMAN	E3 ubiquitin-protein ligase MYLIP (EC 2.3.2.27) (Inducible degrader of the LDL-receptor) (Idol) (Myosin regulatory light chain interacting protein) (MIR) (RING-type E3 ubiquitin transferase MYLIP)	NM_013262
Q6NVU6	UFSP1_HUMAN	Inactive Ufm1-specific protease 1 (UfSP1)	NM_001015072
Q99551	MTEF1_HUMAN	Transcription termination factor 1, mitochondrial (Mitochondrial transcription termination factor 1) (mTERF) (mTERF1)	NM_006980
Q9UBS3	DNJB9_HUMAN	DnaJ homolog subfamily B member 9 (Endoplasmic reticulum DNA J domain-containing protein 4) (ER-resident protein ERdj4) (ERdj4) (Microvascular endothelial differentiation gene 1 protein) (Mdg-1)	NM_012328
Q8WYJ6	SEPT1_HUMAN	Septin-1 (LARP) (Peanut-like protein 3) (Serologically defined breast cancer antigen NY-BR-24)	NM_052838
Q96MX3	ZNF48_HUMAN	Zinc finger protein 48 (Zinc finger protein 553)	NM_152652
Q13349	ITAD_HUMAN	Integrin alpha-D (ADB2) (CD11 antigen-like family member D) (Leukointegrin alpha D) (CD antigen CD11d)	NM_005353
P78411	IRX5_HUMAN	Iroquois-class homeodomain protein IRX-5 (Homeodomain protein IRX-2A) (Homeodomain protein IRXB2) (Iroquois homeobox protein 5)	NM_005853
Q9UNY5	ZN232_HUMAN	Zinc finger protein 232 (Zinc finger and SCAN domain-containing protein 11)	NM_014519
Q8NAA5	LR75A_HUMAN	Leucine-rich repeat-containing protein 75A (Leucine-rich repeat-containing protein FAM211A)	NM_207387
P49703	ARL4D_HUMAN	ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L)	NM_001661
Q4G0X4	KCD21_HUMAN	BTB/POZ domain-containing protein KCTD21 (KCASH2 protein) (Potassium channel tetramerization domain-containing protein 21)	NM_001029859
Q92628	K0232_HUMAN	Uncharacterized protein KIAA0232	NM_014743
Q4W5G0	TIGD2_HUMAN	Tigger transposable element-derived protein 2	NM_145715
P61371	ISL1_HUMAN	Insulin gene enhancer protein ISL-1 (Islet-1)	NM_002202
Q04864	REL_HUMAN	Proto-oncogene c-Rel	NM_002908
Q5W0Q7	USPL1_HUMAN	SUMO-specific isopeptidase USPL1 (EC 3.4.22.-) (Ubiquitin-specific peptidase-like protein 1) (USP-like 1)	NM_005800
Q7L211	ABHDD_HUMAN	Protein ABHD13 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 13) (Abhydrolase domain-containing protein 13)	NM_032859
Q8NCK3	ZN485_HUMAN	Zinc finger protein 485	NM_145312
O75362	ZN217_HUMAN	Zinc finger protein 217	NM_006526
Q8IYI6	EXOC8_HUMAN	Exocyst complex component 8 (Exocyst complex 84 kDa subunit)	NM_175876
Q9Y2X9	ZN281_HUMAN	Zinc finger protein 281 (GC-box-binding zinc finger protein 1) (Transcription factor ZBP-99) (Zinc finger DNA-binding protein 99)	NM_012482
Q5VY09	IER5_HUMAN	Immediate early response gene 5 protein	NM_016545
Q9BUE0	MED18_HUMAN	Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18) (p28b)	NM_017638
Q9BWM5	ZN416_HUMAN	Zinc finger protein 416	NM_017879
Q8N883	ZN614_HUMAN	Zinc finger protein 614	NM_025040
Q6PG37	ZN790_HUMAN	Zinc finger protein 790	NM_206894
P17017	ZNF14_HUMAN	Zinc finger protein 14 (Gonadotropin-inducible ovary transcription repressor 4) (GIOT-4) (Zinc finger protein KOX6)	NM_021030
Q5HY98	ZN766_HUMAN	Zinc finger protein 766	NM_001010851
Q9NZL3	ZN224_HUMAN	Zinc finger protein 224 (Bone marrow zinc finger 2) (BMZF-2) (Zinc finger protein 233) (Zinc finger protein 255) (Zinc finger protein 27) (Zinc finger protein KOX22)	NM_013398
Q6P9A1	ZN530_HUMAN	Zinc finger protein 530	NM_020880
Q8N184	ZN567_HUMAN	Zinc finger protein 567	NM_152603
Q8NC26	ZN114_HUMAN	Zinc finger protein 114	NM_153608
Q9UK10	ZN225_HUMAN	Zinc finger protein 225	NM_013362
Q86UE3	ZN546_HUMAN	Zinc finger protein 546 (Zinc finger protein 49)	NM_178544
O75800	ZMY10_HUMAN	Zinc finger MYND domain-containing protein 10 (Protein BLu)	NM_015896
P54826	GAS1_HUMAN	Growth arrest-specific protein 1 (GAS-1)	NM_002048
Q9BSH5	HDHD3_HUMAN	Haloacid dehalogenase-like hydrolase domain-containing protein 3	NM_031219
Q99619	SPSB2_HUMAN	SPRY domain-containing SOCS box protein 2 (SSB-2) (Gene-rich cluster protein C9)	NM_032641
Q7Z5W3	BN3D2_HUMAN	Pre-miRNA 5'-monophosphate methyltransferase (EC 2.1.1.-) (BCDIN3 domain-containing protein)	NM_181708
Q9HCM1	K1551_HUMAN	Uncharacterized protein KIAA1551	NM_018169
Q969J2	ZKSC4_HUMAN	Zinc finger protein with KRAB and SCAN domains 4 (P373c6.1) (Zinc finger protein 307) (Zinc finger protein 427)	NM_019110
Q9H2L4	TMM60_HUMAN	Transmembrane protein 60	NM_032936
P55317	FOXA1_HUMAN	Hepatocyte nuclear factor 3-alpha (HNF-3-alpha) (HNF-3A) (Forkhead box protein A1) (Transcription factor 3A) (TCF-3A)	NM_004496
Q9NYF0	DACT1_HUMAN	Dapper homolog 1 (hDPR1) (Dapper antagonist of catenin 1) (Hepatocellular carcinoma novel gene 3 protein)	NM_016651
P55771	PAX9_HUMAN	Paired box protein Pax-9	NM_006194
Q14586	ZN267_HUMAN	Zinc finger protein 267 (Zinc finger protein HZF2)	NM_003414
Q96QA6	YPEL2_HUMAN	Protein yippee-like 2	NM_001005404
Q6P1R3	MSD2_HUMAN	Myb/SANT-like DNA-binding domain-containing protein 2	NM_024631
Q8NCY6	MSD4_HUMAN	Myb/SANT-like DNA-binding domain-containing protein 4 (Myb/SANT-like DNA-binding domain containing 4 with coiled-coils)	NM_032424
A6NK97	S22AK_HUMAN	Solute carrier family 22 member 20 (Organic anion transporter 6) (Solute carrier family 22 member 20 pseudogene)	NM_001004326
Q6ZN04	MEX3B_HUMAN	RNA-binding protein MEX3B (RING finger and KH domain-containing protein 3) (RING finger protein 195)	NM_032246
Q68CZ6	HAUS3_HUMAN	HAUS augmin-like complex subunit 3	NM_024511
P23415	GLRA1_HUMAN	Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit)	NM_000171
P28562	DUS1_HUMAN	Dual specificity protein phosphatase 1 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH1) (Mitogen-activated protein kinase phosphatase 1) (MAP kinase phosphatase 1) (MKP-1) (Protein-tyrosine phosphatase CL100)	NM_004417
Q05923	DUS2_HUMAN	Dual specificity protein phosphatase 2 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PAC-1)	NM_004418
Q8WVZ9	KBTB7_HUMAN	Kelch repeat and BTB domain-containing protein 7	NM_032138
Q96A46	MFRN2_HUMAN	Mitoferrin-2 (Mitochondrial RNA-splicing protein 3/4 homolog) (MRS3/4) (hMRS3/4) (Mitochondrial iron transporter 2) (Solute carrier family 25 member 28)	NM_031212
Q16600	ZN239_HUMAN	Zinc finger protein 239 (Zinc finger protein HOK-2) (Zinc finger protein MOK-2)	NM_005674
Q96MK2	RIPR3_HUMAN	RIPOR family member 3	NM_080829
Q96JH7	VCIP1_HUMAN	Deubiquitinating protein VCIP135 (EC 3.4.19.12) (Valosin-containing protein p97/p47 complex-interacting protein 1) (Valosin-containing protein p97/p47 complex-interacting protein p135) (VCP/p47 complex-interacting 135-kDa protein)	NM_025054
P01106	MYC_HUMAN	Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64)	NM_002467
Q5VV52	ZN691_HUMAN	Zinc finger protein 691	NM_015911
Q9H790	EXO5_HUMAN	Exonuclease V (Exo V) (hExo5) (EC 3.1.-.-) (Defects in morphology protein 1 homolog)	NM_022774
Q8IVA1	PCP2_HUMAN	Purkinje cell protein 2 homolog	NM_174895
A2RRD8	ZN320_HUMAN	Zinc finger protein 320	NM_207333
O95402	MED26_HUMAN	Mediator of RNA polymerase II transcription subunit 26 (Activator-recruited cofactor 70 kDa component) (ARC70) (Cofactor required for Sp1 transcriptional activation subunit 7) (CRSP complex subunit 7) (Mediator complex subunit 26) (Transcriptional coactivator CRSP70)	NM_004831
Q14590	ZN235_HUMAN	Zinc finger protein 235 (Zinc finger protein 270) (Zinc finger protein 93 homolog) (Zfp-93) (Zinc finger protein HZF6)	NM_004234
Q96HA9	PX11C_HUMAN	Peroxisomal membrane protein 11C (Peroxin-11C) (Peroxisomal biogenesis factor 11C) (Protein PEX11 homolog gamma) (PEX11-gamma)	NM_080662
O94892	ZN432_HUMAN	Zinc finger protein 432	NM_014650
Q9NQZ8	ZNF71_HUMAN	Endothelial zinc finger protein induced by tumor necrosis factor alpha (Zinc finger protein 71)	NM_021216
P17275	JUNB_HUMAN	Transcription factor jun-B	NM_002229
Q2VY69	ZN284_HUMAN	Zinc finger protein 284	NM_001037813
O15062	ZBTB5_HUMAN	Zinc finger and BTB domain-containing protein 5	NM_014872
Q15916	ZBTB6_HUMAN	Zinc finger and BTB domain-containing protein 6 (Zinc finger protein 482) (Zinc finger protein with interaction domain)	NM_006626
Q13049	TRI32_HUMAN	E3 ubiquitin-protein ligase TRIM32 (EC 2.3.2.27) (72 kDa Tat-interacting protein) (RING-type E3 ubiquitin transferase TRIM32) (Tripartite motif-containing protein 32) (Zinc finger protein HT2A)	NM_012210
Q96K80	ZC3HA_HUMAN	Zinc finger CCCH domain-containing protein 10	NM_032786
P46527	CDN1B_HUMAN	Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1)	NM_004064
Q15814	TBCC_HUMAN	Tubulin-specific chaperone C (Tubulin-folding cofactor C) (CFC)	NM_003192
O00141	SGK1_HUMAN	Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)	NM_005627
Q5TEZ5	CF163_HUMAN	Uncharacterized protein C6orf163	NM_001010868
Q5VVH5	IKBP1_HUMAN	Interleukin-1 receptor-associated kinase 1-binding protein 1 (IRAK1-binding protein 1)	NM_001010844
Q9NTX7	RN146_HUMAN	E3 ubiquitin-protein ligase RNF146 (EC 2.3.2.27) (Dactylidin) (Iduna) (RING finger protein 146) (RING-type E3 ubiquitin transferase RNF146)	NM_030963
Q9NXS3	KLH28_HUMAN	Kelch-like protein 28 (BTB/POZ domain-containing protein 5)	NM_017658
P01100	FOS_HUMAN	Proto-oncogene c-Fos (Cellular oncogene fos) (G0/G1 switch regulatory protein 7)	NM_005252
Q8WWX8	SC5AB_HUMAN	Sodium/myo-inositol cotransporter 2 (Na(+)/myo-inositol cotransporter 2) (Sodium-dependent glucose cotransporter) (Sodium/glucose cotransporter KST1) (Sodium/myo-inositol transporter 2) (SMIT2) (Solute carrier family 5 member 11)	NM_052944
Q9P2J9	PDP2_HUMAN	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (PDP 2) (EC 3.1.3.43) (Pyruvate dehydrogenase phosphatase catalytic subunit 2) (PDPC 2)	NM_020786
Q12946	FOXF1_HUMAN	Forkhead box protein F1 (Forkhead-related activator 1) (FREAC-1) (Forkhead-related protein FKHL5) (Forkhead-related transcription factor 1)	NM_001451
Q7Z353	HDX_HUMAN	Highly divergent homeobox	NM_144657
Q9UJT1	TBD_HUMAN	Tubulin delta chain (Delta-tubulin)	NM_016261
Q9UJ37	SIA7B_HUMAN	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 (EC 2.4.99.-) (GalNAc alpha-2,6-sialyltransferase II) (ST6GalNAc II) (ST6GalNAcII) (SThM) (Sialyltransferase 7B) (SIAT7-B)	NM_006456
Q96NB3	ZN830_HUMAN	Zinc finger protein 830 (Coiled-coil domain-containing protein 16)	NM_052857
Q9NWA0	MED9_HUMAN	Mediator of RNA polymerase II transcription subunit 9 (Mediator complex subunit 9)	NM_018019
Q5HYJ3	FA76B_HUMAN	Protein FAM76B	NM_144664
Q8WVL7	ANR49_HUMAN	Ankyrin repeat domain-containing protein 49 (Fetal globin-inducing factor)	NM_017704
Q6ZUT6	CCD9B_HUMAN	Coiled-coil domain-containing protein 9B	NM_207380
Q8NCT1	ARRD4_HUMAN	Arrestin domain-containing protein 4	NM_183376
Q8N5C7	DTWD1_HUMAN	DTW domain-containing protein 1	NM_020234
Q8NBM8	PCYXL_HUMAN	Prenylcysteine oxidase-like (EC 1.8.3.-)	NM_024028
Q9NPI7	KRCC1_HUMAN	Lysine-rich coiled-coil protein 1 (Cryptogenic hepatitis-binding protein 2)	NM_016618
P61587	RND3_HUMAN	Rho-related GTP-binding protein RhoE (Protein MemB) (Rho family GTPase 3) (Rho-related GTP-binding protein Rho8) (Rnd3)	NM_005168
P15313	VATB1_HUMAN	V-type proton ATPase subunit B, kidney isoform (V-ATPase subunit B 1) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 1)	NM_001692
P32242	OTX1_HUMAN	Homeobox protein OTX1 (Orthodenticle homolog 1)	NM_014562
Q9NY97	B3GN2_HUMAN	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 (EC 2.4.1.149) (Beta-1,3-N-acetylglucosaminyltransferase 1) (BGnT-1) (Beta-1,3-Gn-T1) (Beta3Gn-T1) (Beta-1,3-galactosyltransferase 7) (Beta-1,3-GalTase 7) (Beta3Gal-T7) (Beta3GalT7) (b3Gal-T7) (Beta-3-Gx-T7) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 7) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2) (BGnT-2) (Beta-1,3-Gn-T2) (Beta-1,3-N-acetylglucosaminyltransferase 2) (Beta3Gn-T2) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 7)	NM_006577
Q9UQK1	PPR3C_HUMAN	Protein phosphatase 1 regulatory subunit 3C (Protein phosphatase 1 regulatory subunit 5) (PP1 subunit R5) (Protein targeting to glycogen) (PTG)	NM_005398
Q9H8K7	CJ088_HUMAN	Uncharacterized protein C10orf88	NM_024942
Q1XH10	SKDA1_HUMAN	SKI/DACH domain-containing protein 1 (Protein DLN-1)	NM_207371
Q6DJT9	PLAG1_HUMAN	Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)	NM_002655
Q86XI6	PPR3B_HUMAN	Protein phosphatase 1 regulatory subunit 3B (Hepatic glycogen-targeting protein phosphatase 1 regulatory subunit GL) (Protein phosphatase 1 regulatory subunit 4) (PP1 subunit R4) (Protein phosphatase 1 subunit GL) (PTG)	NM_024607
O75564	JERKY_HUMAN	Jerky protein homolog	NM_003724
Q9BS34	ZN670_HUMAN	Zinc finger protein 670	NM_033213
P21941	MATN1_HUMAN	Cartilage matrix protein (Matrilin-1)	NM_002379
P13726	TF_HUMAN	Tissue factor (TF) (Coagulation factor III) (Thromboplastin) (CD antigen CD142)	NM_001993
