Protein_IDs,Progulon_ID,SimpleID,Protein_names,Gene_names,Mean_RF_score,Manual_annotation,Highlight_genes
Q9UI09,PRN21,Q9UI09,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,NDUFA12,0.554236541,Complex I,
O43676,PRN21,O43676,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,NDUFB3,0.553763101,Complex I,
O95299;O95299-2,PRN21,O95299,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,0.551750222,Complex I,
O75306;O75306-2,PRN21,O75306,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",NDUFS2,0.550617487,Complex I,
O95182,PRN21,O95182,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,NDUFA7,0.535275295,Complex I,
P56556,PRN21,P56556,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,NDUFA6,0.532663903,Complex I,
P51970,PRN21,P51970,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,NDUFA8,0.531906287,Complex I,
O43181,PRN21,O43181,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",NDUFS4,0.530442667,Complex I,
O95167,PRN21,O95167,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,NDUFA3,0.530040446,Complex I,
O75380,PRN21,O75380,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",NDUFS6,0.524088475,Complex I,
O14521-2;O14521;O14521-4,PRN21,O14521,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",SDHD,0.592439051,Complex II,
P31040;P31040-2;P31040-3,PRN21,P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",SDHA,0.567074898,Complex II,
P21912,PRN21,P21912,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",SDHB,0.557831925,Complex II,
Q99643,PRN21,Q99643,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",SDHC,0.512587701,Complex II,
O14949,PRN21,O14949,Cytochrome b-c1 complex subunit 8,UQCRQ,0.645835075,Complex III,
P47985,PRN21,P47985,"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11",UQCRFS1,0.633224559,Complex III,
P14927,PRN21,P14927,Cytochrome b-c1 complex subunit 7,UQCRB,0.63037795,Complex III,
P22695,PRN21,P22695,"Cytochrome b-c1 complex subunit 2, mitochondrial",UQCRC2,0.615758866,Complex III,
P31930,PRN21,P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",UQCRC1,0.582021052,Complex III,
P08574,PRN21,P08574,"Cytochrome c1, heme protein, mitochondrial",CYC1,0.555468304,Complex III,
P07919,PRN21,P07919,"Cytochrome b-c1 complex subunit 6, mitochondrial",UQCRH,0.535276657,Complex III,
P13073,PRN21,P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",COX4I1,0.673011403,Complex IV,
P09669,PRN21,P09669,Cytochrome c oxidase subunit 6C,COX6C,0.672483772,Complex IV,
P20674,PRN21,P20674,"Cytochrome c oxidase subunit 5A, mitochondrial",COX5A,0.661967518,Complex IV,
P10606,PRN21,P10606,"Cytochrome c oxidase subunit 5B, mitochondrial",COX5B,0.647974785,Complex IV,
P00403,PRN21,P00403,Cytochrome c oxidase subunit 2,MT-CO2,0.633173043,Complex IV,
P10176,PRN21,P10176,"Cytochrome c oxidase subunit 8A, mitochondrial",COX8A,0.630826438,Complex IV,
P15954,PRN21,P15954,"Cytochrome c oxidase subunit 7C, mitochondrial",COX7C,0.626058723,Complex IV,
P24311,PRN21,P24311,"Cytochrome c oxidase subunit 7B, mitochondrial",COX7B,0.583013212,Complex IV,
P14854,PRN21,P14854,Cytochrome c oxidase subunit 6B1,COX6B1,0.572528546,Complex IV,
P14406,PRN21,P14406,"Cytochrome c oxidase subunit 7A2, mitochondrial",COX7A2,0.561182886,Complex IV,
P00414,PRN21,P00414,Cytochrome c oxidase subunit 3,MT-CO3,0.542427228,Complex IV,
P55084;P55084-2,PRN21,P55084,"Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase",HADHB,0.62840997,FAO,
O43772,PRN21,O43772,Mitochondrial carnitine/acylcarnitine carrier protein,SLC25A20,0.617539525,FAO,
P23786,PRN21,P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial",CPT2,0.603756682,FAO,
P40939,PRN21,P40939,"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase",HADHA,0.5879424,FAO,
P42765,PRN21,P42765,"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2,0.541388794,FAO,
P24752,PRN21,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,0.535446531,FAO,
P11310;P11310-2,PRN21,P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,0.521443538,FAO,
P45954;P45954-2,PRN21,P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",ACADSB,0.508362231,FAO,
Q99623;Q99623-2,PRN21,Q99623,Prohibitin-2,PHB2,0.660449926,,
Q9UJZ1;Q9UJZ1-2,PRN21,Q9UJZ1,"Stomatin-like protein 2, mitochondrial",STOML2,0.63048367,,
P35232,PRN21,P35232,Prohibitin,PHB,0.618591195,,
Q8N2U0,PRN21,Q8N2U0,Transmembrane protein 256,TMEM256,0.608265033,Uncharacterised,
Q9BPW8,PRN21,Q9BPW8,Protein NipSnap homolog 1,NIPSNAP1,0.553537415,Uncharacterised,
P45880;P45880-2,PRN21,P45880,Voltage-dependent anion-selective channel protein 2,VDAC2,0.578448102,,
Q9Y277;Q9Y277-2,PRN21,Q9Y277,Voltage-dependent anion-selective channel protein 3,VDAC3,0.576543035,,
P21796,PRN21,P21796,Voltage-dependent anion-selective channel protein 1,VDAC1,0.562211809,,
Q99798,PRN21,Q99798,"Aconitate hydratase, mitochondrial",ACO2,0.637323566,,ACO2
Q9UII2,PRN21,Q9UII2,"ATPase inhibitor, mitochondrial",ATPIF1,0.519814389,,IF1
Q00325,PRN21,Q00325,"Phosphate carrier protein, mitochondrial",SLC25A3,0.634012119,,PiC
P30048-2;P30048,PRN21,P30048,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,0.629446447,,PRDX3
Q9NTG7,PRN21,Q9NTG7,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",SIRT3,0.566716386,,SirT3
P99999,PRN21,P99999,Cytochrome c,CYCS,0.500417973,,
Q16134,PRN21,Q16134,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",ETFDH,0.598651315,,
P38117,PRN21,P38117,Electron transfer flavoprotein subunit beta,ETFB,0.51910052,,
P13804;P13804-2,PRN21,P13804,"Electron transfer flavoprotein subunit alpha, mitochondrial",ETFA,0.501676073,,
O96011;O96011-2,PRN21,O96011,Peroxisomal membrane protein 11B,PEX11B,0.668522942,,
P53597,PRN21,P53597,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",SUCLG1,0.673617598,,
Q9Y6C9,PRN21,Q9Y6C9,Mitochondrial carrier homolog 2,MTCH2,0.646426062,,
P49755,PRN21,P49755,Transmembrane emp24 domain-containing protein 10,TMED10,0.639985918,,
Q15363,PRN21,Q15363,Transmembrane emp24 domain-containing protein 2,TMED2,0.620692132,,
Q8NCN5,PRN21,Q8NCN5,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",PDPR,0.619806816,,
Q53H12,PRN21,Q53H12,"Acylglycerol kinase, mitochondrial",AGK,0.614015808,,
Q9NWU1;Q9NWU1-2,PRN21,Q9NWU1,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",OXSM,0.608858586,,
Q9HDC9;Q9HDC9-2,PRN21,Q9HDC9,Adipocyte plasma membrane-associated protein,APMAP,0.604864279,,
Q13232,PRN21,Q13232,Nucleoside diphosphate kinase 3,NME3,0.604712378,,
Q99714;Q99714-2,PRN21,Q99714,3-hydroxyacyl-CoA dehydrogenase type-2,HSD17B10,0.599955165,,
Q9H4I9,PRN21,Q9H4I9,"Essential MCU regulator, mitochondrial",SMDT1,0.59502961,,
P17152,PRN21,P17152,"Transmembrane protein 11, mitochondrial",TMEM11,0.590770115,,
Q8IXI2-3;Q8IXI2-2;Q8IXI2-5;Q8IXI2-7;Q8IXI2,PRN21,Q8IXI2,Mitochondrial Rho GTPase 1,RHOT1,0.588151989,,
P10515,PRN21,P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",DLAT,0.587516232,,
P31937,PRN21,P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",HIBADH,0.586397137,,
O75915,PRN21,O75915,PRA1 family protein 3,ARL6IP5,0.583441983,,
Q9H6K4,PRN21,Q9H6K4,Optic atrophy 3 protein,OPA3,0.581948477,,
Q96I99;Q96I99-2,PRN21,Q96I99,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",SUCLG2,0.581579828,,
O75323;O75323-2,PRN21,O75323,Protein NipSnap homolog 2,GBAS,0.578650665,,
O75431;O75431-2,PRN21,O75431,Metaxin-2,MTX2,0.578035543,,
Q9BVK6,PRN21,Q9BVK6,Transmembrane emp24 domain-containing protein 9,TMED9,0.57691448,,
P20073-2;P20073,PRN21,P20073,Annexin A7,ANXA7,0.57496934,,
Q9NYU2-2;Q9NYU2,PRN21,Q9NYU2,UDP-glucose:glycoprotein glucosyltransferase 1,UGGT1,0.570737965,,
P40616;P40616-2,PRN21,P40616,ADP-ribosylation factor-like protein 1,ARL1,0.568221072,,
Q969X5;Q969X5-2,PRN21,Q969X5,Endoplasmic reticulum-Golgi intermediate compartment protein 1,ERGIC1,0.567360443,,
Q13505-3;Q13505,PRN21,Q13505,Metaxin-1,MTX1,0.567207779,,
Q16611;Q16611-2,PRN21,Q16611,Bcl-2 homologous antagonist/killer,BAK1,0.565930325,,
O75208,PRN21,O75208,"Ubiquinone biosynthesis protein COQ9, mitochondrial",COQ9,0.557948632,,
P49189;P49189-2,PRN21,P49189,4-trimethylaminobutyraldehyde dehydrogenase,ALDH9A1,0.555533523,,
Q9Y5Y5;Q9Y5Y5-2,PRN21,Q9Y5Y5,Peroxisomal membrane protein PEX16,PEX16,0.555464946,,
Q9Y3A6;Q9Y3A6-2,PRN21,Q9Y3A6,Transmembrane emp24 domain-containing protein 5,TMED5,0.55529006,,
O14966;O14966-2;O14966-3,PRN21,O14966,Ras-related protein Rab-7L1,RAB29,0.554252188,,
Q9Y241;Q9Y241-2,PRN21,Q9Y241,"HIG1 domain family member 1A, mitochondrial",HIGD1A,0.553911816,,
P23368;P23368-2,PRN21,P23368,"NAD-dependent malic enzyme, mitochondrial",ME2,0.553529069,,
P54619-2;P54619,PRN21,P54619,5-AMP-activated protein kinase subunit gamma-1,PRKAG1,0.552389722,,
Q9BV81,PRN21,Q9BV81,ER membrane protein complex subunit 6,EMC6,0.551430448,,
O94905,PRN21,O94905,Erlin-2,ERLIN2,0.551369134,,
P06746,PRN21,P06746,DNA polymerase beta,POLB,0.551028988,,
Q5TGZ0,PRN21,Q5TGZ0,MICOS complex subunit MIC10,MINOS1,0.549472568,,
Q9Y394;Q9Y394-2,PRN21,Q9Y394,Dehydrogenase/reductase SDR family member 7,DHRS7,0.546453789,,
P50336,PRN21,P50336,Protoporphyrinogen oxidase,PPOX,0.545285164,,
O95372,PRN21,O95372,Acyl-protein thioesterase 2,LYPLA2,0.544643853,,
Q9Y512,PRN21,Q9Y512,Sorting and assembly machinery component 50 homolog,SAMM50,0.544375539,,
Q86SZ2;Q86SZ2-2,PRN21,Q86SZ2,Trafficking protein particle complex subunit 6B,TRAPPC6B,0.544343906,,
P49257,PRN21,P49257,Protein ERGIC-53,LMAN1,0.542270454,,
Q9NVJ2;Q9NVJ2-2,PRN21,Q9NVJ2,ADP-ribosylation factor-like protein 8B,ARL8B,0.541813837,,
P49590;P49590-2,PRN21,P49590,"Probable histidine--tRNA ligase, mitochondrial",HARS2,0.541155072,,
Q8N766-2;Q8N766;Q8N766-3,PRN21,Q8N766,ER membrane protein complex subunit 1,EMC1,0.539902931,,
Q8WUD1;Q8WUD1-2,PRN21,Q8WUD1,Ras-related protein Rab-2B,RAB2B,0.53947026,,
Q9H7Z7,PRN21,Q9H7Z7,Prostaglandin E synthase 2;Prostaglandin E synthase 2 truncated form,PTGES2,0.538568405,,
Q7Z7H5;Q7Z7H5-3,PRN21,Q7Z7H5,Transmembrane emp24 domain-containing protein 4,TMED4,0.53855283,,
Q9P0I2;Q9P0I2-2,PRN21,Q9P0I2,ER membrane protein complex subunit 3,EMC3,0.537594858,,
Q16595,PRN21,Q16595,"Frataxin, mitochondrial;Frataxin intermediate form;Frataxin(56-210);Frataxin(78-210);Frataxin mature form",FXN,0.537469571,,
Q9P0S9,PRN21,Q9P0S9,Transmembrane protein 14C,TMEM14C,0.537277091,,
Q9BX68,PRN21,Q9BX68,"Histidine triad nucleotide-binding protein 2, mitochondrial",HINT2,0.537004693,,
P07954-2;P07954,PRN21,P07954,"Fumarate hydratase, mitochondrial",FH,0.536293188,,
Q9H936,PRN21,Q9H936,Mitochondrial glutamate carrier 1,SLC25A22,0.535972381,,
Q9UKU7;Q9UKU7-3;Q9UKU7-2,PRN21,Q9UKU7,"Isobutyryl-CoA dehydrogenase, mitochondrial",ACAD8,0.535136073,,
P40926;P40926-2,PRN21,P40926,"Malate dehydrogenase, mitochondrial",MDH2,0.533120658,,
Q9NVH6-7;Q9NVH6;Q9NVH6-8;Q9NVH6-5;Q9NVH6-6;Q9NVH6-4,PRN21,Q9NVH6,"Trimethyllysine dioxygenase, mitochondrial",TMLHE,0.532398015,,
Q15436;Q15436-2,PRN21,Q15436,Protein transport protein Sec23A,SEC23A,0.531665116,,
Q9HBL7,PRN21,Q9HBL7,Plasminogen receptor (KT),PLGRKT,0.530839717,,
Q96GQ5,PRN21,Q96GQ5,UPF0420 protein C16orf58,C16orf58,0.530666635,,
Q9NZJ6,PRN21,Q9NZJ6,"Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial",COQ3,0.529966179,,
Q9UHQ9,PRN21,Q9UHQ9,NADH-cytochrome b5 reductase 1,CYB5R1,0.528713152,,
Q14699,PRN21,Q14699,Raftlin,RFTN1,0.528053649,,
Q9P0U1,PRN21,Q9P0U1,Mitochondrial import receptor subunit TOM7 homolog,TOMM7,0.528015702,,
Q9NP81;Q9NP81-2,PRN21,Q9NP81,"Serine--tRNA ligase, mitochondrial",SARS2,0.527690799,,
Q16854;Q16854-2;Q16854-3;Q16854-5,PRN21,Q16854,"Deoxyguanosine kinase, mitochondrial",DGUOK,0.525994299,,
Q9H061;Q9H061-2,PRN21,Q9H061,Transmembrane protein 126A,TMEM126A,0.523784964,,
Q92759,PRN21,Q92759,General transcription factor IIH subunit 4,GTF2H4,0.523749904,,
Q13724;Q13724-2,PRN21,Q13724,Mannosyl-oligosaccharide glucosidase,MOGS,0.52322937,,
Q9NVH1;Q9NVH1-2,PRN21,Q9NVH1,DnaJ homolog subfamily C member 11,DNAJC11,0.523048744,,
Q96BM9,PRN21,Q96BM9,ADP-ribosylation factor-like protein 8A,ARL8A,0.522966211,,
Q9Y3B3;Q86XR7-2;Q9Y3B3-2,PRN21,Q9Y3B3,Transmembrane emp24 domain-containing protein 7,TMED7,0.521809277,,
P49411,PRN21,P49411,"Elongation factor Tu, mitochondrial",TUFM,0.521134023,,
P10155;P10155-3;P10155-5;P10155-4,PRN21,P10155,60 kDa SS-A/Ro ribonucleoprotein,TROVE2,0.52090541,,
Q8WWC4,PRN21,Q8WWC4,"Uncharacterized protein C2orf47, mitochondrial",C2orf47,0.520756335,,
O15173;O15173-2,PRN21,O15173,Membrane-associated progesterone receptor component 2,PGRMC2,0.520689076,,
O75608;O75608-2,PRN21,O75608,Acyl-protein thioesterase 1,LYPLA1,0.520581117,,
P42126;P42126-2,PRN21,P42126,"Enoyl-CoA delta isomerase 1, mitochondrial",ECI1,0.519409763,,
Q96Q05-3,PRN21,Q96Q05,Trafficking protein particle complex subunit 9,TRAPPC9,0.519258001,,
Q9NSE4,PRN21,Q9NSE4,"Isoleucine--tRNA ligase, mitochondrial",IARS2,0.518745641,,
Q9HCU5,PRN21,Q9HCU5,Prolactin regulatory element-binding protein,PREB,0.518526879,,
Q8IXI1,PRN21,Q8IXI1,Mitochondrial Rho GTPase 2,RHOT2,0.518124007,,
O15155;O15155-2,PRN21,O15155,BET1 homolog,BET1,0.517778469,,
Q9Y3L5,PRN21,Q9Y3L5,Ras-related protein Rap-2c,RAP2C,0.516027832,,
Q9HCC0;Q9HCC0-2,PRN21,Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCC2,0.515995049,,
Q9BV79;Q9BV79-2,PRN21,Q9BV79,"Trans-2-enoyl-CoA reductase, mitochondrial",MECR,0.51596125,,
Q14728,PRN21,Q14728,Major facilitator superfamily domain-containing protein 10,MFSD10,0.515714516,,
P13861;P13861-2,PRN21,P13861,cAMP-dependent protein kinase type II-alpha regulatory subunit,PRKAR2A,0.515107482,,
Q9BRR6-2;Q9BRR6,PRN21,Q9BRR6,ADP-dependent glucokinase,ADPGK,0.514481279,,
Q96HY7,PRN21,Q96HY7,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",DHTKD1,0.513706342,,
Q9H2K0,PRN21,Q9H2K0,"Translation initiation factor IF-3, mitochondrial",MTIF3,0.513053931,,
Q9NWS8;Q9NWS8-2,PRN21,Q9NWS8,Required for meiotic nuclear division protein 1 homolog,RMND1,0.512594609,,
Q9BWM7,PRN21,Q9BWM7,Sideroflexin-3,SFXN3,0.512478522,,
Q8IYS2;Q8IYS2-2,PRN21,Q8IYS2,Uncharacterized protein KIAA2013,KIAA2013,0.511703838,,
P30042;P30042-2,PRN21,P30042,"ES1 protein homolog, mitochondrial",C21orf33,0.510663336,,
O00330-3;O00330,PRN21,O00330,"Pyruvate dehydrogenase protein X component, mitochondrial",PDHX,0.510434808,,
Q9H9B4,PRN21,Q9H9B4,Sideroflexin-1,SFXN1,0.509931181,,
Q8N4T8;Q8N4T8-2,PRN21,Q8N4T8,Carbonyl reductase family member 4,CBR4,0.509422859,,
P21953,PRN21,P21953,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",BCKDHB,0.509054312,,
Q9BY50,PRN21,Q9BY50,Signal peptidase complex catalytic subunit SEC11C,SEC11C,0.50892265,,
O43837;O43837-2,PRN21,O43837,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",IDH3B,0.50838217,,
O43169,PRN21,O43169,Cytochrome b5 type B,CYB5B,0.508203695,,
Q92947;Q92947-2,PRN21,Q92947,"Glutaryl-CoA dehydrogenase, mitochondrial",GCDH,0.507517764,,
P13473-2,PRN21,P13473,Lysosome-associated membrane glycoprotein 2,LAMP2,0.507037355,,
O95249,PRN21,O95249,Golgi SNAP receptor complex member 1,GOSR1,0.50672143,,
Q02252;Q02252-2,PRN21,Q02252,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",ALDH6A1,0.505464199,,
P30044;P30044-3;P30044-4,PRN21,P30044,"Peroxiredoxin-5, mitochondrial",PRDX5,0.505152777,,
Q9BWS9;Q9BWS9-2,PRN21,Q9BWS9,Chitinase domain-containing protein 1,CHID1,0.504649975,,
Q9Y6A9,PRN21,Q9Y6A9,Signal peptidase complex subunit 1,SPCS1,0.504475649,,
Q9HC21-2;Q9HC21,PRN21,Q9HC21,Mitochondrial thiamine pyrophosphate carrier,SLC25A19,0.504083237,,
P51659;P51659-3,PRN21,P51659,Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2,HSD17B4,0.503952002,,
Q5JRX3;Q5JRX3-2,PRN21,Q5JRX3,"Presequence protease, mitochondrial",PITRM1,0.503772651,,
O00479,PRN21,O00479,High mobility group nucleosome-binding domain-containing protein 4,HMGN4,0.502681136,,
P11177;P11177-2;P11177-3,PRN21,P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PDHB,0.501868022,,
Q9NXS2;Q9NXS2-3,PRN21,Q9NXS2,Glutaminyl-peptide cyclotransferase-like protein,QPCTL,0.501615945,,
Q92506,PRN21,Q92506,Estradiol 17-beta-dehydrogenase 8,HSD17B8,0.501383424,,
Q6P4A7;Q6P4A7-3,PRN21,Q6P4A7,Sideroflexin-4,SFXN4,0.500895039,,
Q9Y2V7;Q9Y2V7-2,PRN21,Q9Y2V7,Conserved oligomeric Golgi complex subunit 6,COG6,0.500844142,,
