Progulon_ID,Protein_IDs,SimpleID,Protein_names,Gene_names,Mean_RF_score,Manual_annotation,Highlight_genes
PRN11,P62195;P62195-2,P62195,26S protease regulatory subunit 8,PSMC5,0.560485019,"Proteasome, regulatory",
PRN11,Q99460;Q99460-2,Q99460,26S proteasome non-ATPase regulatory subunit 1,PSMD1,0.643327473,"Proteasome, regulatory",
PRN11,O75832;O75832-2,O75832,26S proteasome non-ATPase regulatory subunit 10,PSMD10,0.511802643,"Proteasome, regulatory",
PRN11,O00231;O00231-2,O00231,26S proteasome non-ATPase regulatory subunit 11,PSMD11,0.654857672,"Proteasome, regulatory",
PRN11,O00232;O00232-2,O00232,26S proteasome non-ATPase regulatory subunit 12,PSMD12,0.529589109,"Proteasome, regulatory",
PRN11,Q13200;Q13200-3;Q13200-2,Q13200,26S proteasome non-ATPase regulatory subunit 2,PSMD2,0.65888726,"Proteasome, regulatory",
PRN11,P55036;P55036-2,P55036,26S proteasome non-ATPase regulatory subunit 4,PSMD4,0.646954396,"Proteasome, regulatory",
PRN11,Q15008;Q15008-4;Q15008-3;Q15008-2,Q15008,26S proteasome non-ATPase regulatory subunit 6,PSMD6,0.531734666,"Proteasome, regulatory",
PRN11,P48556,P48556,26S proteasome non-ATPase regulatory subunit 8,PSMD8,0.598307074,"Proteasome, regulatory",
PRN11,O00233;O00233-2,O00233,26S proteasome non-ATPase regulatory subunit 9,PSMD9,0.56157034,"Proteasome, regulatory",
PRN11,Q9NUG6,Q9NUG6,p53 and DNA damage-regulated protein 1,PDRG1,0.552037347,R2TP/PFDL complex,
PRN11,Q9NWS0,Q9NWS0,PIH1 domain-containing protein 1,PIH1D1,0.503348343,R2TP/PFDL complex,
PRN11,Q9Y265;Q9Y265-2,Q9Y265,RuvB-like 1,RUVBL1,0.601209205,R2TP/PFDL complex,
PRN11,Q9Y230;Q9Y230-2,Q9Y230,RuvB-like 2,RUVBL2,0.598685471,R2TP/PFDL complex,
PRN11,Q9UBK9,Q9UBK9,Protein UXT,UXT,0.511729595,R2TP/PFDL complex,
PRN11,P62280,P62280,40S ribosomal protein S11,RPS11,0.502352673,Ribosome 40S,
PRN11,P25398,P25398,40S ribosomal protein S12,RPS12,0.55688156,Ribosome 40S,
PRN11,P62277,P62277,40S ribosomal protein S13,RPS13,0.528624435,Ribosome 40S,
PRN11,P62263,P62263,40S ribosomal protein S14,RPS14,0.505261736,Ribosome 40S,
PRN11,P62249,P62249,40S ribosomal protein S16,RPS16,0.601321199,Ribosome 40S,
PRN11,P15880,P15880,40S ribosomal protein S2,RPS2,0.621937271,Ribosome 40S,
PRN11,P60866;P60866-2,P60866,40S ribosomal protein S20,RPS20,0.627309321,Ribosome 40S,
PRN11,P62266,P62266,40S ribosomal protein S23,RPS23,0.545713253,Ribosome 40S,
PRN11,P62851,P62851,40S ribosomal protein S25,RPS25,0.50803293,Ribosome 40S,
PRN11,P62854,P62854,40S ribosomal protein S26,RPS26,0.529558534,Ribosome 40S,
PRN11,P62273;P62273-2,P62273,40S ribosomal protein S29,RPS29,0.501078558,Ribosome 40S,
PRN11,P23396,P23396,40S ribosomal protein S3,RPS3,0.544911546,Ribosome 40S,
PRN11,P61247,P61247,40S ribosomal protein S3a,RPS3A,0.55923723,Ribosome 40S,
PRN11,P62701,P62701,"40S ribosomal protein S4, X isoform",RPS4X,0.524758406,Ribosome 40S,
PRN11,P62081,P62081,40S ribosomal protein S7,RPS7,0.505312,Ribosome 40S,
PRN11,P62241,P62241,40S ribosomal protein S8,RPS8,0.602207096,Ribosome 40S,
PRN11,P46781,P46781,40S ribosomal protein S9,RPS9,0.611813291,Ribosome 40S,
PRN11,P08865,P08865,40S ribosomal protein SA,RPSA,0.571893865,Ribosome 40S,
PRN11,P05388;Q8NHW5,P05388,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,RPLP0;RPLP0P6,0.573102078,Ribosome 60S,
PRN11,P05386,P05386,60S acidic ribosomal protein P1,RPLP1,0.529345563,Ribosome 60S,
PRN11,P05387,P05387,60S acidic ribosomal protein P2,RPLP2,0.591109453,Ribosome 60S,
PRN11,P62913,P62913,60S ribosomal protein L11,RPL11,0.535059873,Ribosome 60S,
PRN11,P30050;P30050-2,P30050,60S ribosomal protein L12,RPL12,0.595355235,Ribosome 60S,
PRN11,P26373;P26373-2,P26373,60S ribosomal protein L13,RPL13,0.571096636,Ribosome 60S,
PRN11,P40429,P40429,60S ribosomal protein L13a,RPL13A,0.513080295,Ribosome 60S,
PRN11,P50914,P50914,60S ribosomal protein L14,RPL14,0.580170067,Ribosome 60S,
PRN11,P61313,P61313,60S ribosomal protein L15,RPL15,0.572224151,Ribosome 60S,
PRN11,Q07020;Q07020-2,Q07020,60S ribosomal protein L18,RPL18,0.614099478,Ribosome 60S,
PRN11,Q02543,Q02543,60S ribosomal protein L18a,RPL18A,0.551549548,Ribosome 60S,
PRN11,P84098,P84098,60S ribosomal protein L19,RPL19,0.527921701,Ribosome 60S,
PRN11,P83731,P83731,60S ribosomal protein L24,RPL24,0.514995846,Ribosome 60S,
PRN11,P61254,P61254,60S ribosomal protein L26,RPL26,0.515582861,Ribosome 60S,
PRN11,P61353,P61353,60S ribosomal protein L27,RPL27,0.55211852,Ribosome 60S,
PRN11,P46776,P46776,60S ribosomal protein L27a,RPL27A,0.617052064,Ribosome 60S,
PRN11,P46779,P46779,60S ribosomal protein L28,RPL28,0.563922741,Ribosome 60S,
PRN11,P39023,P39023,60S ribosomal protein L3,RPL3,0.505024938,Ribosome 60S,
PRN11,P62888,P62888,60S ribosomal protein L30,RPL30,0.538699466,Ribosome 60S,
PRN11,P62899;P62899-3;P62899-2,P62899,60S ribosomal protein L31,RPL31,0.559116674,Ribosome 60S,
PRN11,P62910,P62910,60S ribosomal protein L32,RPL32,0.534143082,Ribosome 60S,
PRN11,P49207,P49207,60S ribosomal protein L34,RPL34,0.538156303,Ribosome 60S,
PRN11,P18077,P18077,60S ribosomal protein L35a,RPL35A,0.560605094,Ribosome 60S,
PRN11,P61513,P61513,60S ribosomal protein L37a,RPL37A,0.522324701,Ribosome 60S,
PRN11,P36578,P36578,60S ribosomal protein L4,RPL4,0.588344713,Ribosome 60S,
PRN11,Q02878,Q02878,60S ribosomal protein L6,RPL6,0.605703845,Ribosome 60S,
PRN11,P18124,P18124,60S ribosomal protein L7,RPL7,0.549295305,Ribosome 60S,
PRN11,P62424,P62424,60S ribosomal protein L7a,RPL7A,0.558006049,Ribosome 60S,
PRN11,P62917,P62917,60S ribosomal protein L8,RPL8,0.508963086,Ribosome 60S,
PRN11,P32969,P32969,60S ribosomal protein L9,RPL9,0.553773603,Ribosome 60S,
PRN11,P62304,P62304,Small nuclear ribonucleoprotein E,SNRPE,0.51957855,Sm,
PRN11,P62306,P62306,Small nuclear ribonucleoprotein F,SNRPF,0.517177402,Sm,
PRN11,P62308;A8MWD9,P62308,Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15,SNRPG;SNRPGP15,0.552844756,Sm,
PRN11,P62314,P62314,Small nuclear ribonucleoprotein Sm D1,SNRPD1,0.500622892,Sm,
PRN11,P62316,P62316,Small nuclear ribonucleoprotein Sm D2,SNRPD2,0.524104684,Sm,
PRN11,P62318-2;P62318,P62318,Small nuclear ribonucleoprotein Sm D3,SNRPD3,0.509868088,Sm,
PRN11,O43583,O43583,Density-regulated protein,DENR,0.587072958,Translation factors,
PRN11,P68104;Q5VTE0;P68104-2,P68104,Elongation factor 1-alpha 1;Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,0.614334831,Translation factors,
PRN11,Q05639,Q05639,Elongation factor 1-alpha 2,EEF1A2,0.501190801,Translation factors,
PRN11,P24534,P24534,Elongation factor 1-beta,EEF1B2,0.708773552,Translation factors,
PRN11,P29692-2,P29692,Elongation factor 1-delta,EEF1D,0.514831805,Translation factors,
PRN11,P29692,P29692,Elongation factor 1-delta,EEF1D,0.504346432,Translation factors,
PRN11,P26641;P26641-2,P26641,Elongation factor 1-gamma,EEF1G,0.650934943,Translation factors,
PRN11,P13639,P13639,Elongation factor 2,EEF2,0.589633718,Translation factors,
PRN11,P05198,P05198,Eukaryotic translation initiation factor 2 subunit 1,EIF2S1,0.523374811,Translation factors,
PRN11,P20042,P20042,Eukaryotic translation initiation factor 2 subunit 2,EIF2S2,0.592991926,Translation factors,
PRN11,P41091;Q2VIR3;Q2VIR3-2,P41091,Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein,EIF2S3;EIF2S3L,0.650413016,Translation factors,
PRN11,P41214;P41214-2,P41214,Eukaryotic translation initiation factor 2D,EIF2D,0.519980418,Translation factors,
PRN11,P55884-2;P55884,P55884,Eukaryotic translation initiation factor 3 subunit B,EIF3B,0.646345867,Translation factors,
PRN11,O00303,O00303,Eukaryotic translation initiation factor 3 subunit F,EIF3F,0.54921303,Translation factors,
PRN11,O75821,O75821,Eukaryotic translation initiation factor 3 subunit G,EIF3G,0.639672245,Translation factors,
PRN11,Q13347,Q13347,Eukaryotic translation initiation factor 3 subunit I,EIF3I,0.746732255,Translation factors,
PRN11,Q7L2H7;Q7L2H7-2,Q7L2H7,Eukaryotic translation initiation factor 3 subunit M,EIF3M,0.560201604,Translation factors,
PRN11,P06730;P06730-3;P06730-2,P06730,Eukaryotic translation initiation factor 4E,EIF4E,0.583885881,Translation factors,
PRN11,O60573,O60573,Eukaryotic translation initiation factor 4E type 2,EIF4E2,0.532238427,Translation factors,
PRN11,Q15056,Q15056,Eukaryotic translation initiation factor 4H,EIF4H,0.675761315,Translation factors,
PRN11,P55010,P55010,Eukaryotic translation initiation factor 5,EIF5,0.544795952,Translation factors,
PRN11,P63241;P63241-2,P63241,Eukaryotic translation initiation factor 5A-1,EIF5A,0.640440603,Translation factors,
PRN11,P56537,P56537,Eukaryotic translation initiation factor 6,EIF6,0.551292678,Translation factors,
PRN11,P17987,P17987,T-complex protein 1 subunit alpha,TCP1,0.593765946,TRiC,
PRN11,P78371,P78371,T-complex protein 1 subunit beta,CCT2,0.734898901,TRiC,
PRN11,P50991,P50991,T-complex protein 1 subunit delta,CCT4,0.729500944,TRiC,
PRN11,P48643;P48643-2,P48643,T-complex protein 1 subunit epsilon,CCT5,0.640283474,TRiC,
PRN11,Q99832;Q99832-3;Q99832-4;Q99832-2,Q99832,T-complex protein 1 subunit eta,CCT7,0.614398168,TRiC,
PRN11,P49368,P49368,T-complex protein 1 subunit gamma,CCT3,0.611750295,TRiC,
PRN11,P50990;P50990-2,P50990,T-complex protein 1 subunit theta,CCT8,0.683513129,TRiC,
PRN11,P40227;P40227-2,P40227,T-complex protein 1 subunit zeta,CCT6A,0.62270241,TRiC,
PRN11,Q9BQE3,Q9BQE3,Tubulin alpha-1C chain,TUBA1C,0.528525105,Tubulins & tub. chaperones,
PRN11,Q13509;Q13509-2,Q13509,Tubulin beta-3 chain,TUBB3,0.561262487,Tubulins & tub. chaperones,
PRN11,Q3ZCM7,Q3ZCM7,Tubulin beta-8 chain,TUBB8,0.537208728,Tubulins & tub. chaperones,
PRN11,Q99426,Q99426,Tubulin-folding cofactor B,TBCB,0.607610148,Tubulins & tub. chaperones,
PRN11,O75347;O75347-2,O75347,Tubulin-specific chaperone A,TBCA,0.610949911,Tubulins & tub. chaperones,
PRN11,Q9BTW9,Q9BTW9,Tubulin-specific chaperone D,TBCD,0.50165343,Tubulins & tub. chaperones,
PRN11,Q4VC31,Q4VC31,Coiled-coil domain-containing protein 58,CCDC58,0.540547475,Uncharacterised,
PRN11,Q53HC9,Q53HC9,Protein TSSC1,TSSC1,0.502981304,Uncharacterised,
PRN11,Q58FF6,Q58FF6,Putative heat shock protein HSP 90-beta 4,HSP90AB4P,0.507171031,Uncharacterised,
PRN11,Q8IXT5,Q8IXT5,RNA-binding protein 12B,RBM12B,0.509846363,Uncharacterised,
PRN11,Q15369;Q15369-2,Q15369,Transcription elongation factor B polypeptide 1,TCEB1,0.613231578,,TCEB1
PRN11,Q15370,Q15370,Transcription elongation factor B polypeptide 2,TCEB2,0.61783755,,TCEB2
PRN11,P31946,P31946,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",YWHAB,0.644439179,,
PRN11,P31946-2,P31946,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",YWHAB,0.550991919,,
PRN11,P62258;P62258-2,P62258,14-3-3 protein epsilon,YWHAE,0.609570602,,
PRN11,P27348,P27348,14-3-3 protein theta,YWHAQ,0.511854843,,
PRN11,Q13442,Q13442,28 kDa heat- and acid-stable phosphoprotein,PDAP1,0.558571695,,
PRN11,P52815,P52815,"39S ribosomal protein L12, mitochondrial",MRPL12,0.503113339,,
PRN11,O15530;O15530-3;O15530-4;O15530-5;Q6A1A2,O15530,3-phosphoinositide-dependent protein kinase 1;Putative 3-phosphoinositide-dependent protein kinase 2,PDPK1;PDPK2,0.523598182,,
PRN11,P08195-2,P08195,4F2 cell-surface antigen heavy chain,SLC3A2,0.569046432,,
PRN11,O96019;O96019-2,O96019,Actin-like protein 6A,ACTL6A,0.541244421,,
PRN11,Q9BPX5,Q9BPX5,Actin-related protein 2/3 complex subunit 5-like protein,ARPC5L,0.544646138,,
PRN11,Q9Y224,Q9Y224,"Acts as component of the EARP complex that is involved in endocytic recycling. The EARP complex associates with Rab4-positive endosomes and promotes recycling of internalized transferrin receptor (TFRC) to the plasma membrane. Within the EARP complex, required to tether the complex to recycling endosomes. Not involved in retrograde tran",C14orf166,0.57106748,,
PRN11,P46108,P46108,Adapter molecule crk,CRK,0.531705249,,
PRN11,P07741;P07741-2,P07741,Adenine phosphoribosyltransferase,APRT,0.503540184,,
PRN11,P05141,P05141,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,0.534960761,,
PRN11,P49588;P49588-2,P49588,"Alanine--tRNA ligase, cytoplasmic",AARS,0.55542223,,
PRN11,Q12904;Q12904-2,Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2,AIMP1,0.585545111,,
PRN11,Q01433;Q01433-2;Q01433-5,Q01433,AMP deaminase 2,AMPD2,0.505967665,,
PRN11,P53365;P53365-3;P53365-2,P53365,Arfaptin-2,ARFIP2,0.514587172,,
PRN11,Q8N2F6-3;Q8N2F6,Q8N2F6,Armadillo repeat-containing protein 10,ARMC10,0.534140772,,
PRN11,O43776,O43776,"Asparagine--tRNA ligase, cytoplasmic",NARS,0.508831716,,
PRN11,Q9NUU7,Q9NUU7,ATP-dependent RNA helicase DDX19A,DDX19A,0.51844159,,
PRN11,Q9NR09,Q9NR09,Baculoviral IAP repeat-containing protein 6,BIRC6,0.501430215,,
PRN11,Q7L1Q6-4,Q7L1Q6,Basic leucine zipper and W2 domain-containing protein 1,BZW1,0.603771721,,
PRN11,P31939;P31939-2,P31939,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,ATIC,0.564086593,,
PRN11,P78537;P78537-2,P78537,Biogenesis of lysosome-related organelles complex 1 subunit 1,BLOC1S1,0.518731975,,
PRN11,Q9H3K6;Q9H3K6-2,Q9H3K6,BolA-like protein 2,BOLA2,0.562247115,,
PRN11,Q96Q11-2;Q96Q11,Q96Q11,"CCA tRNA nucleotidyltransferase 1, mitochondrial",TRNT1,0.529586375,,
PRN11,P62633-2;P62633;P62633-7,P62633,Cellular nucleic acid-binding protein,CNBP,0.523587693,,
PRN11,Q9HD42,Q9HD42,Charged multivesicular body protein 1a,CHMP1A,0.599469242,,
PRN11,P83916,P83916,Chromobox protein homolog 1,CBX1,0.50105165,,
PRN11,Q05048,Q05048,Cleavage stimulation factor subunit 1,CSTF1,0.557034031,,
PRN11,P35606;P35606-2,P35606,Coatomer subunit beta,COPB2,0.539173672,,
PRN11,O14579;O14579-3;O14579-2,O14579,Coatomer subunit epsilon,COPE,0.571056964,,
PRN11,P23528,P23528,Cofilin-1,CFL1,0.513769707,,
PRN11,Q96JG6,Q96JG6,Coiled-coil domain-containing protein 132,CCDC132,0.524719613,,
PRN11,Q96MW1;Q96MW1-2,Q96MW1,Coiled-coil domain-containing protein 43,CCDC43,0.521320642,,
PRN11,Q8N668;Q8N668-2,Q8N668,COMM domain-containing protein 1,COMMD1,0.51271448,,
PRN11,Q9UNS2;Q9UNS2-2,Q9UNS2,COP9 signalosome complex subunit 3,COPS3,0.507658716,,
PRN11,Q9BT78;Q9BT78-2,Q9BT78,COP9 signalosome complex subunit 4,COPS4,0.548197821,,
PRN11,Q92905,Q92905,COP9 signalosome complex subunit 5,COPS5,0.512078089,,
PRN11,Q7L5N1,Q7L5N1,COP9 signalosome complex subunit 6,COPS6,0.580556704,,
PRN11,Q92879-2;Q92879-3;Q92879;Q92879-6,Q92879,CUGBP Elav-like family member 1,CELF1,0.557288954,,
PRN11,Q13618;Q13618-2;Q13618-3,Q13618,Cullin-3,CUL3,0.507097278,,
PRN11,Q86VP6;Q86VP6-2,Q86VP6,Cullin-associated NEDD8-dissociated protein 1,CAND1,0.528023938,,
PRN11,Q16878,Q16878,Cysteine dioxygenase type 1,CDO1,0.514137859,,
PRN11,P49589-3,P49589,"Cysteine--tRNA ligase, cytoplasmic",CARS,0.511662572,,
PRN11,P53701,P53701,Cytochrome c-type heme lyase,HCCS,0.519492812,,
PRN11,Q13409-3;Q13409-6;Q13409-2;Q13409-7;Q13409;Q13409-5,Q13409,Cytoplasmic dynein 1 intermediate chain 2,DYNC1I2,0.533257987,,
PRN11,P16333,P16333,Cytoplasmic protein NCK1,NCK1,0.506225306,,
PRN11,Q96GG9,Q96GG9,DCN1-like protein 1,DCUN1D1,0.518337053,,
PRN11,P55039,P55039,Developmentally-regulated GTP-binding protein 2,DRG2,0.532721166,,
PRN11,Q16531,Q16531,DNA damage-binding protein 1,DDB1,0.557825949,,
PRN11,O15160;O15160-2,O15160,DNA-directed RNA polymerases I and III subunit RPAC1,POLR1C,0.567812501,,
PRN11,Q9Y2S0,Q9Y2S0,DNA-directed RNA polymerases I and III subunit RPAC2,POLR1D,0.508672391,,
PRN11,O60884,O60884,DnaJ homolog subfamily A member 2,DNAJA2,0.559248031,,
PRN11,Q96EY1,Q96EY1,"DnaJ homolog subfamily A member 3, mitochondrial",DNAJA3,0.514998939,,
PRN11,P25685,P25685,DnaJ homolog subfamily B member 1,DNAJB1,0.560617418,,
PRN11,Q8TEA8,Q8TEA8,D-tyrosyl-tRNA(Tyr) deacylase 1,DTD1,0.525964575,,
PRN11,Q9NP97,Q9NP97,Dynein light chain roadblock-type 1,DYNLRB1,0.520689908,,
PRN11,Q6UWE0;Q6UWE0-2,Q6UWE0,E3 ubiquitin-protein ligase LRSAM1,LRSAM1,0.555974227,,
PRN11,P62877,P62877,"E3 ubiquitin-protein ligase RBX1;E3 ubiquitin-protein ligase RBX1, N-terminally processed",RBX1,0.514617287,,
PRN11,Q9Y508;Q9Y508-2,Q9Y508,E3 ubiquitin-protein ligase RNF114,RNF114,0.558561143,,
PRN11,Q5T4S7-3;Q5T4S7;Q5T4S7-4;Q5T4S7-2,Q5T4S7,E3 ubiquitin-protein ligase UBR4,UBR4,0.506799136,,
PRN11,Q15717;Q15717-2,Q15717,ELAV-like protein 1,ELAVL1,0.553593441,,
PRN11,O60869,O60869,Endothelial differentiation-related factor 1,EDF1,0.502744488,,
PRN11,P84090,P84090,Enhancer of rudimentary homolog,ERH,0.530034176,,
PRN11,Q9UHY7,Q9UHY7,Enolase-phosphatase E1,ENOPH1,0.545357891,,
PRN11,Q92817,Q92817,Envoplakin,EVPL,0.514217078,,
PRN11,Q9UBC2;Q9UBC2-2;Q9UBC2-3;Q9UBC2-4,Q9UBC2,Epidermal growth factor receptor substrate 15-like 1,EPS15L1,0.527793779,,
PRN11,Q9NPA0,Q9NPA0,ER membrane protein complex subunit 7,EMC7,0.529495545,,
PRN11,P60842;P60842-2,P60842,Eukaryotic initiation factor 4A-I,EIF4A1,0.516630276,,
PRN11,P62495;P62495-2,P62495,Eukaryotic peptide chain release factor subunit 1,ETF1,0.635511059,,
PRN11,O43324;O43324-2,O43324,Eukaryotic translation elongation factor 1 epsilon-1,EEF1E1,0.528267373,,
PRN11,Q13868;Q13868-2;Q13868-3,Q13868,Exosome complex component RRP4,EXOSC2,0.527787868,,
PRN11,Q15024,Q15024,Exosome complex component RRP42,EXOSC7,0.507807982,,
PRN11,P52907,P52907,F-actin-capping protein subunit alpha-1,CAPZA1,0.500347529,,
PRN11,P51114;P51114-3,P51114,Fragile X mental retardation syndrome-related protein 1,FXR1,0.529417954,,
PRN11,P51116,P51116,Fragile X mental retardation syndrome-related protein 2,FXR2,0.520833099,,
PRN11,Q9NQ88,Q9NQ88,"Fructose-2,6-bisphosphatase TIGAR",TIGAR,0.528184968,,
